钚	鈈
钛	鈦
钜	鋸
钝	鈍
钞	鈔
钟	鐘
钠	鈉
钡	鋇
钢	鋼
钣	鈑
钤	鈐
钥	鑰
钦	歫
钧	鈞
钩	鈎
钪	鈧
钫	鈁
钬	鈥
钭	鈄
钮	鈕
钯	鈠
钰	鈺
钱	鍃
钲	鉦
钳	鉸
钴	鈷
钵	鉢
钶	鈳
钷	鉶
钸	鈽
钹	鈸
钺	鉿
钻	鑽
钼	鉬
钽	鉭
钾	鉀
钿	鈿
铀	鈾
铁	鑖
铃	鈴
铄	鑠
铅	鉼
铆	鉻
铉	鉩
铊	鉨
铋	鉭
铌	鈮
铍	鈹
铎	鑙
铐	鋎
铑	銠
铒	鉺
铕	鋌
铖	鋮
铗	鋏
铘	鋣
铛	鑛
铜	銅
铞	鋒
铟	銦
铠	鎧
铡	鍘
铢	銖
铣	銑
铤	鋌
铥	鋋
铧	鏵
铨	銓
铩	鎩
铪	鉿
铫	銚
铬	鉻
铭	銘
铮	錺
铯	鋍
铰	鉸
铱	銥
铲	鏿
铳	銃
铴	鐋
铵	銨
银	銀
铷	銣
铸	鑤
铹	鐒
铺	鋪
铼	錸
铽	鋱
链	鏈
铿	鏷
销	鋘
锁	鎖
锂	鋰
锃	鋥
锄	鋤
锅	鍋
锆	鋯
锇	鋨
锈	鋚
锉	鋝
锊	鋝
锋	鋒
锌	鋅
锍	鋶
锎	鐦
锏	鐧
锐	鋭
锑	鋜
锒	鋤
锓	鋟
锔	鋦
锕	録
锖	錆
锗	鎛
锘	鍩
错	錯
锚	錨
锛	錻
锝	鍀
锞	錁
锟	錵
锡	錫
锢	錮
锣	鑼
锤	錸
锥	錰
锦	錦
锨	鍁
锩	錈
锪	鍃
锫	錇
锬	鍀
锭	鍁
键	鎖
锯	鋸
锰	錳
锱	錹
锲	鍥
锴	鍇
锵	鏸
锶	鎗
锷	鍔
锸	鍤
锹	鍬
锻	鍛
锼	鎪
锾	鎑
锿	鎥
镀	鍍
镁	鎣
镂	鐄
镄	鐨
镅	鎇
镆	鏌
镇	鎮
镉	鎘
镊	鑷
镌	鐫
镍	鎳
镎	鎿
镏	鎦
镐	鎬
镑	鎊
镒	鎰
镓	鎵
镔	鑌
镖	鐂
镗	鏼
镘	鏽
镜	鐁
镝	鏲
镞	鏃
镡	鐔
镢	鐝
镣	鐐
镤	鏷
镥	鑥
镦	鐓
镧	鑭
镨	鐠
镩	鑹
镪	鏹
镫	鐙
镬	鑪
镭	鑔
镯	鑓
镰	鎌
镱	鑟
镳	鑣
镶	鑲
长	閘
閐	鑮
閒	鎔
間	鏰
閗	鑱
门	閠
闩	関
闪	閣
闭	閉
问	問
闯	阩
闰	閏
闱	闈
闲	閑
闳	閎
间	閒
闵	閔
闶	閌
闷	悶
闸	閘
闹	鬧
闺	閨
闻	聞
闼	陏
闽	閩
闾	閭
阀	閥
阁	閣
阂	阧
阃	閫
阄	鬮
阅	閲
阆	閬
阈	閾
阉	閹
阊	閶
阋	鬩
阌	閿
阍	閽
阎	閻
阏	閼
阐	陁
阑	闌
阒	闃
阔	闊
阕	闋
阖	阧
阗	阣
阙	阨
阚	阹
队	隊
阱	宑
阳	陽
阴	陰
阵	陣
阶	隺
附	坿
际	雋
陆	陸
陇	隴
陈	陳
陉	陘
陕	陝
陡	阧
陨	雃
险	雞
隐	隱
隶	隸
难	難
雇	僱
雏	雛
雕	鵰
雠	讎
雷	靬
雾	靎
霁	靨
霍	靃
霭	靄
靓	靚
面	靣
靥	靨
靴	韞
鞋	韕
鞑	韃
鞒	韝
鞯	韉
鞲	韝
韦	韋
韧	韌
韩	韓
韪	韙
韫	韞
韬	韜
韭	韮
韵	韻
页	頁
顶	頂
顷	頃
顸	頇
项	項
顺	順
须	須
顼	頊
顽	頱
顾	顧
顿	頳
颀	頎
颁	頲
颂	頌
颃	頏
预	頰
颅	颾
领	頸
颇	頷
颈	頸
颉	顁
颊	頰
颌	頼
颍	穎
颏	顆
颐	顄
频	頻
颓	頹
颔	頷
颖	穎
颗	顆
题	題
颚	顎
颛	顓
颜	顔
额	額
颞	飀
颟	顢
颠	顛
颡	顙
颢	顥
颤	顫
颥	顬
颦	颽
颧	飁
风	飈
飑	飏
飒	飐
飓	飠
飕	颼
飘	飄
飙	飆
飚	飈
飞	飛
飧	飱
飨	饗
餐	飱
饥	饑
饧	餳
饨	飩
饩	餼
饪	飪
饫	飫
饬	飭
饭	飯
饮	飲
饯	餿
饰	飾
饱	飽
饲	飼
饴	飴
饵	餯
饶	饒
饷	餫
饺	餃
饼	餅
饽	餲
饿	餴
馁	餳
馄	餼
馅	饂
馆	館
馇	餷
馈	饋
馊	餿
馋	饞
馍	饃
馏	餾
馐	饈
馑	饉
馒	饅
馓	饊
馔	饌
馕	饢
