褲	裤
褳	裢
襖	袄
襝	裣亵
襠	裆
襢	袒
襤	褴
襩	幞
襪	裥袜
襯	衬
襲	裝袭
見	见
覍	弁
規	规
覓	觅
視	视
覘	觇
覡	觋
覽	览
覿	觌
觀	观
觗	觎
觛	睹
觝	亲
觠	觊
觤	觏
觩	觐
觰	觑
觴	觉觞
觵	觥
觶	觯
觸	触
訂	订
訃	讣
計	计
訊	讯
訌	讧
討	讨
訐	讦
訒	讱
訓	训
訕	讪
訖	讫
記	记
訛	讹
訝	讶
診	诊
証	证
詀	讼
詁	诂
詄	诀
詆	诋讷
詋	讻
詌	访
詎	讵
詏	设
詐	诈
詒	诒
詓	许
詔	诏
評	评
詖	诐诉
詘	诃诎
詛	诅
詞	词
詠	咏
詡	诩
詢	询
詣	诣
試	试
詧	察
詩	诗
詫	诧
詬	诟
詭	诡
詮	诠
詰	诘
話	话
該	该
詳	详
詵	诜
詶	酬
詼	诙
詿	诖
誠	诚
誡	诫
誣	诬
誤	误
誥	诰
誦	诵
誧	诔
誨	诲诛
誩	诓
説	说
誮	认
誰	谁
課	课诳
誳	诶
誵	诞
誶	谇
誸	诱
誹	诽
誺	诮
誼	谊
誾	语
調	调
諂	谄
諄	谆
談	谈
諉	诿
請	请
諍	诤
諏	诹
諑	诼
諒	谅
論	论
諗	谂
諛	谀
諜	谍
諞	谝
諢	诨
諤	谔
謀	谋
謁	谒
謂	谓
謄	誊
謅	诌
謆	谛
謈	谐
謊	谎
謌	歌谏
謎	谜谕
謏	谘
謐	谧
謒	讳
謔	谙谑
謖	谡
謗	谤谌
謘	讽
謙	谦诸
謚	谥
講	讲谚
謝	谢谖
謟	诺
謡	谣
謨	谟
謫	谪
謬	谬
謳	讴
謹	谨
謾	谩
謿	嘲
譆	嘻
譫	谵
譯	译
議	谲议
譱	讥
譴	谴
護	护
譸	谮
譺	识
譻	谯
譼	谭
譽	誉
譾	谱
讀	读
變	变
讌	宴
讎	仇雠
讒	谗
讓	让
讕	谰
讜	谠
讞	谳
豰	岂
豷	丰
貓	猫
貛	獾
貝	贝
貞	贞
負	负
財	财
貢	贡
貧	贫
貨	货
販	贩
貪	贪
貫	贯
責	责
賊	贼
賏	贮
賑	赈
賒	赊赀
賓	宾贰
賔	贵
賕	赇
賖	贬
賗	买
賘	贷
賚	贶赉
賛	费
賜	赐贴
賝	贻
賞	赏
賟	贸
賠	贺赔
賡	贲赓
賢	赂贤
賣	赁卖
賤	贿贱
賥	赅
賦	赋
賧	赕资
賨	贾
質	质
賫	赍
賬	账
賭	赌
賴	赖
賺	赚
賻	赙
購	购
賽	赛
賾	赜
贄	贽
贅	赘
贈	赠
贊	赞
贋	赝
贍	赡
赼	赢
赽	赆
趂	趁
趆	赎
趍	赣
趎	赃
趕	赶
趙	赵
趨	趋
趲	趱
踐	践
踖	迹
踘	跺
踦	踩
踴	踊
蹌	跄
蹏	蹄
蹕	跸
蹠	跖
蹣	蹒
蹤	踪
躚	跹
躠	蹴
躡	蹶蹑
躤	跷
躥	蹿
躦	躜
躪	躏
躱	趸躲
躳	踌躬
躴	跻
躶	裸跃
躸	踯
躹	跞
躻	踬
軀	躯
軆	体
車	车
軋	轧
軌	轨
軍	军
軒	轩
軔	轫
軛	轭
軟	软
軤	轷
較	较
輅	辂
輇	辁
載	载
輊	轾
輋	轸
輒	轱辄
輓	挽
輔	辅
輕	轻
輘	轴
輚	轺
輛	轲辆
輜	轶辎
輝	辉
輞	轼辋
輟	辍
輥	辊
輦	辇
輩	辈
輪	轮
輯	辑
輳	辏
輸	输
輻	辐
輾	辗
輿	舆
轂	毂
轄	辖
轅	辕
轡	辔
轢	轹
轤	轳
轪	辘
辒	转
辠	罪
辢	辣辙
辤	轿
辦	办
辭	辞辚
辮	辫
辯	辩
農	农
込	轰
迴	回
逈	迥
這	这
運	运
過	过
達	达
違	违
遙	连
遜	逊
遞	递
遠	远
適	进适
遬	逖
遯	遁
遲	迟
遷	迁
選	选
遺	遗
遼	辽
邁	迈
還	还
邇	迩
邊	边
邏	逻
邐	逦
邨	村
郵	邮
鄆	郓
鄉	乡
