筛号	shāi/hào
筛子	shāi/zi
筛洗	shāi/xǐ
筛锣擂鼓	shāi/luó/léi/gǔ
筷子	kuài/zi
筹划	chóu/huà
签发	qiān/fā
签子	qiān/zi
签条	qiān/tiáo
简丝数米	jiǎn/sī/shǔ/mǐ
简任	jiǎn/rèn
简体字	jiǎn/tǐ/zì
简便	jiǎn/biàn
简傲绝俗	jiǎn/ào/jué/sú
简分数	jiǎn/fēn/shù
简切了当	jiǎn/qiè/liǎo/dàng
简化	jiǎn/huà
简化字	jiǎn/huà/zì
简化汉字	jiǎn/huà/hàn/zì
简单	jiǎn/dān
简单化	jiǎn/dān/huà
简在帝心	jiǎn/zài/dì/xīn
简帖	jiǎn/tiē
简截了当	jiǎn/jié/liǎo/dàng
简括	jiǎn/kuò
简捷了当	jiǎn/jié/liǎo/dàng
简明扼要	jiǎn/míng/é/yào
简朴	jiǎn/piáo
简省	jiǎn/shěng
简称	jiǎn/chēng
简约	jiǎn/yuē
简约详核	jiǎn/yuē/xiáng/hé
简缩	jiǎn/suō
简能而任	jiǎn/néng/ér/rèn
简落狐狸	jiǎn/luò/hú/lí
简要	jiǎn/yào
简要不烦	jiǎn/yào/bù/fán
简要清通	jiǎn/yào/qīng/tōng
简贤任能	jiǎn/xián/rèn/néng
简贤附势	jiǎn/xián/fù/shì
箕山之志	jī/shān/zhī/zhì
箕山之操	jī/shān/zhī/cāo
箕山之节	jī/shān/zhī/jié
箕山之风	jī/shān/zhī/fēng
箕山挂瓢	jī/shān/guà/piáo
箕帚之使	jī/zhǒu/zhī/shǐ
箕引裘随	jī/yǐn/qiú/suí
箕斗	jī/dòu
箕裘相继	jī/qiú/xiāng/jì
箕风毕雨	jī/fēng/bì/yǔ
算了	suàn/le
算得	suàn/de
算数	suàn/shù
算无遗策	suàn/wú/yí/cè
算术	suàn/shù
管中窥天	guǎn/zhōng/kuī/tiān
管中窥豹	guǎn/zhōng/kuī/bào
管乐	guǎn/yuè
管乐器	guǎn/yuè/qì
管区	guǎn/qū
管城毛颖	guǎn/chéng/máo/yǐng
管宁割席	guǎn/níng/gē/xí
管家	guǎn/jiā
管家婆	guǎn/jiā/pó
管弦乐	guǎn/xián/yuè
管教	guǎn/jiào
管片	guǎn/piàn
管窥筐举	guǎn/kuī/kuāng/jǔ
管窥蠡测	guǎn/kuī/lí/cè
管见	guǎn/jiàn
管见所及	guǎn/jiàn/suǒ/jí
管风琴	guǎn/fēng/qín
管鲍之交	guǎn/bào/zhī/jiāo
管鲍分金	guǎn/bào/fēn/jīn
箩筐	luo/kuāng
箪瓢屡空	dān/piáo/lǚ/kōng
箪豆见色	dān/dòu/jiàn/sè
箪食壶浆	dān/sì/hú/jiāng
箪食壶酒	dān/sì/hú/jiǔ
箪食瓢饮	dān/sì/piáo/yǐn
箫韶九成	xiāo/sháo/jiǔ/chéng
箭不虚发	jiàn/bù/xū/fā
箭在弦上	jiàn/zài/xián/shàng
箭垛	jiàn/duǒ
箭头	jiàn/tóu
箭拔弩张	jiàn/bá/nǔ/zhāng
箭穿雁嘴	jiàn/chuān/yàn/zuǐ
箱子	xiāng/zi
箱底	xiāng/dǐ
箱笼	xiāng/lǒng
箸长碗短	zhù/chàng/wǎn/duǎn
篆体	zhuàn/tǐ
篇什	piān/shí
篓子	lǒu/zi
篙头	gāo/tou
篝火狐鸣	gōu/huǒ/hú/míng
篡位夺权	cuàn/wèi/duó/quán
篡党夺权	cuàn/dǎng/duó/quán
篮子	lán/zi
篱栅	lí/zhà
篱牢犬不入	lí/láo/quǎn/bù/rù
篱落	lí/luò
篷车	péng/chē
篾片	miè/piàn
簇锦团花	cù/jǐn/tuán/huā
簟纹如水	diàn/wén/rú/shuǐ
簠簋不饬	fǔ/guǐ/bù/chì
簪子	zān/zi
簪缨世族	zān/yīng/shì/zú
簪缨世胄	zān/yīng/shì/zhòu
簸动	bǒ/dòng
簸土扬沙	bǒ/tǔ/yáng/shā
簸弄	bǒ/nòng
簸箕	bò/ji
簸箩	bǒ/luó
簸荡	bǒ/dàng
簿册	bù/cè
簿子	bù/zǐ
簿籍	bù/jí
簿记	bù/jì
籍没	jí/mò
籍茅	jiè/máo
米尺	mǐ/chǐ
米已成炊	mǐ/yǐ/chéng/chuī
米汤	mǐ/tāng
米珠薪桂	mǐ/zhū/xīn/guì
米盐博辩	mǐ/yán/bó/biàn
米粒之珠	mǐ/lì/zhī/zhū
类似	lèi/sì
类别	lèi/bié
类同	lèi/tóng
类毒素	lèi/dú/sù
类聚群分	lèi/jù/qún/fēn
籽种	zǐ/zhǒng
粉刷	fěn/shuā
粉刺	fěn/cì
粉坊	fěn/fáng
粉墨登场	fěn/mò/dēng/chǎng
粉妆玉琢	fěn/zhuāng/yù/zhuó
粉妆玉砌	fěn/zhuāng/yù/qì
粉条	fěn/tiáo
粉沙	fěn/shā
粉白墨黑	fěn/bái/mò/hēi
粉白黛绿	fěn/bái/dài/lǜ
粉白黛黑	fěn/bái/dài/hēi
粉红	fěn/hóng
粉装玉琢	fěn/zhuāng/yù/zhuó
粉身灰骨	fěn/shēn/huī/gǔ
粉身碎骨	fěn/shēn/suì/gǔ
粉面朱唇	fěn/miàn/zhū/chún
粉面油头	fěn/miàn/yóu/tóu
粉饰太平	fěn/shì/tài/píng
粉骨捐躯	fěn/gǔ/juān/qū
粉骨碎身	fěn/gǔ/suì/shēn
粉骨糜身	fěn/gǔ/mí/shēn
粉骨糜躯	fěn/gǔ/mí/qū
粒米束薪	lì/mǐ/shù/xīn
粒米狼戾	lì/mǐ/láng/lì
粗中有细	cū/zhōng/yǒu/xì
粗制滥造	cū/zhì/làn/zào
粗心大意	cū/xīn/dà/yì
粗心浮气	cū/xīn/fú/qì
粗暴	cū/bào
粗服乱头	cū/fú/luàn/tóu
粗枝大叶	cū/zhī/dà/yè
粗浅	cū/qiǎn
粗茶淡饭	cū/chá/dàn/fàn
粗衣恶食	cū/yī/è/shí
粗衣淡饭	cū/yī/dàn/fàn
粗衣粝食	cū/yī/lì/shí
粗袍粝食	cū/páo/lì/shí
粗通文墨	cū/tōng/wén/mò
粗风暴雨	cū/fēng/bào/yǔ
粘信封	zhān/xìn/fēng
粘合剂	nián/hé/jì
粘土	nián/tǔ
粘液	nián/yè
粘牙	zhān/yá
粘皮带骨	zhān/pí/dài/gǔ
粘稠	nián/chóu
粘结	nián/jié
粘花惹草	zhān/huā/rě/cǎo
粘贴	zhān/tiē
粘连	zhān/lián
粜风卖雨	tiào/fēng/mài/yǔ
粝食粗衣	lì/shí/cū/yī
粟红贯朽	sù/hóng/guàn/xiǔ
粟陈贯朽	sù/chén/guàn/xiǔ
粤犬吠雪	yuè/quǎn/fèi/xuě
粥少僧多	zhōu/shǎo/sēng/duō
粥粥无能	zhōu/zhōu/wú/néng
粪便	fèn/biàn
粪土不如	fèn/tú/bù/rú
粪车	fèn/chē
粮囤	liáng/dùn
粮多草广	liáng/duō/cǎo/guǎng
粮尽援绝	liáng/jìn/yuán/jué
粮票	liáng/piào
粮行	liáng/háng
粮食	liáng/shí
粮食作物	liáng/shí/zuò/wù
粲然可观	càn/rán/kě/guān
粲花之论	càn/huā/zhī/lùn
粽子	zòng/zi
精义入神	jing/yi/ru/shen
精兵强将	jīng/bīng/qiáng/jiàng
精兵简政	jīng/bīng/jiǎn/zhèng
精力充沛	jīng/lì/chōng/pèi
精华	jīng/huá
精卫填海	jīng/wèi/tián/hǎi
精妙绝伦	jīng/miào/jué/lún
精密度	jīng/mì/dù
精干	jīng/gàn
精度	jīng/dù
精强力壮	jīng/qiáng/lì/zhuàng
精当	jīng/dàng
精彩逼人	jīng/cǎi/bī/rén
精忠报国	jīng/zhōng/bào/guó
精打细算	jīng/dǎ/xì/suàn
精明强干	jīng/míng/qiáng/gàn
精明能干	jīng/míng/néng/gàn
精疲力倦	jīng/pí/lì/juàn
精疲力尽	jīng/pí/lì/jìn
精疲力竭	jīng/pí/lì/jié
精益求精	jīng/yì/qiú/jīng
精确度	jīng/què/dù
精神不振	jīng/shén/bú/zhèn
精神分裂症	jīng/shén/fēn/liè/zhèng
精神恍惚	jīng/shén/huǎng/hū
精神抖擞	jīng/shén/dǒu/sǒu
精神满腹	jīng/shén/mǎn/fù
精神焕发	jīng/shén/huàn/fā
精神百倍	jīng/shén/bǎi/bèi
精神衰弱	jīng/shén/shuāi/ruò
精美绝伦	jīng/měi/jué/lún
精耕细作	jīng/gēng/xì/zuò
精血	jīng/xuè
精要	jīng/yào
精诚团结	jīng/chéng/tuán/jié
精诚所至	jīng/chéng/suǒ/zhì
精诚所至，金石为开	jīng/chéng/suǒ/zhì/<py_unk>/jīn/shí/wéi/kāi
精读	jīng/dú
精贯白日	jīng/guàn/bái/rì
精辟	jīng/pì
精进勇猛	jīng/jìn/yǒng/měng
精采	jīng/cǎi
精采秀发	jīng/cǎi/xiù/fā
精金百炼	jīng/jīn/bǎi/liàn
精金美玉	jīng/jīn/měi/yù
精金良玉	jīng/jīn/liáng/yù
精锐之师	jīng/ruì/zhī/shī
精雕细刻	jīng/diāo/xì/kè
精馏	jīng/liú
糅合	róu/hé
糊口	hú/kǒu
糊口度日	hú/kǒu/dù/rì
糊弄	hù/nòng
糊涂	hú/tú
糊涂虫	hú/tú/chóng
糊涂蛋	hú/tú/dàn
糊涂账	hú/tú/zhàng
糊精	hú/jīng
糊糊	hū/hū
糊糊涂涂	hū/hū/tú/tú
糊里糊涂	hú/lǐ/hú/tú
糌粑	zān/ba
糕干	gāo/gān
糖厂	táng/chǎng
糖尿	táng/niào
糖尿病	táng/niào/bìng
糖弹	táng/dàn
糖舌蜜口	táng/shé/mì/kǒu
糖萝卜	táng/luó/bo
糖衣炮弹	táng/yī/pào/dàn
糖食	táng/shí
糜子	méi/zǐ
糜烂	mí/làn
糜费	mí/fèi
糜躯碎首	mí/qū/suì/shǒu
糟糠之妻	zāo/kāng/zhī/qī
糟糠之妻不下堂	zāo/kāng/zhī/qī/bù/xià/táng
糠菜半年粮	kāng/cài/bàn/nián/liáng
糠豆不赡	kāng/dòu/bù/shàn
糨糊	jiàng/hù
系列	xì/liè
系列剧	xì/liè/jù
系列化	xì/liè/huà
系好	jì/hǎo
系带	jì/dài
系念	xì/niàn
系恋	xì/liàn
系数	xì/shù
系泊	jì/bó
系紧	jì/jǐn
系统	xì/tǒng
系绳	jì/shéng
系绳子	jì/shéng/zǐ
系缚	xì/fù
系词	xì/cí
系谱	xì/pǔ
系鞋带	jì/xié/dài
系风捕影	xì/fēng/bǔ/yǐng
系风捕景	xì/fēng/bǔ/jǐng
系马埋轮	xì/mǎ/mái/lún
素不相能	sù/bù/xiāng/néng
素不相识	sù/bù/xiāng/shí
素丝羔羊	sù/sī/gāo/yáng
素丝良马	sù/sī/liáng/mǎ
素净	sù/jìng
素口骂人	sù/kǒu/mà/rén
素数	sù/shù
素昧平生	sù/mèi/píng/shēng
素昧生平	sù/mèi/shēng/píng
素服	sù/fú
素未谋面	sù/wèi/móu/miàn
素朴	sù/piáo
素车白马	sù/chē/bái/mǎ
素隐行怪	sù/yǐn/xíng/guài
素食	sù/shí
素餐尸位	sù/cān/shī/wèi
索价	suǒ/jià
索垢吹瘢	suǒ/gòu/chuī/bān
索垢寻疵	suǒ/gòu/xún/cī
索然寡味	suǒ/rán/guǎ/wèi
索然无味	suǒ/rán/wú/wèi
索要	suǒ/yào
索解	suǒ/jiě
索隐行怪	suǒ/yǐn/xíng/guài
紧俏	jǐn/qiào
紧打慢敲	jǐn/dǎ/màn/qiāo
紧着	jǐn/zhe
紧箍咒	jǐn/gū/zhòu
紧绷绷	jǐn/bēng/bēng
紧缩	jǐn/suō
紧行无好步	jǐn/xíng/wú/hǎo/bù
紧要	jǐn/yào
紧要关头	jǐn/yào/guān/tóu
紧跟不舍	jǐn/gēn/bú/shè
紧迫	jǐn/pò
紧追不舍	jǐn/zhuī/bù/shě
紧锣密鼓	jǐn/luó/mì/gǔ
紫气东来	zǐ/qì/dōng/lái
紫石英	zǐ/shí/yīng
紫禁城	zǐ/jìn/chéng
紫绶金章	zǐ/shòu/jīn/zhāng
紫芝眉宇	zǐ/zhī/méi/yǔ
紫菀	zǐ/wǎn
紫衫	zǐ/shān
紫阳观	zǐ/yáng/guàn
累世不仕	lěi/shì/bú/shì
累乏	lèi/fá
累了	lèi/le
累人	lèi/rén
累卵	lěi/luǎn
累卵之危	lěi/luǎn/zhī/wēi
累及	lěi/jí
累及无辜	lěi/jí/wú/gū
累土聚沙	lěi/tǔ/jù/shā
累土至山	lěi/tǔ/zhì/shān
累块积苏	lěi/kuài/jī/sū
累垮了	lèi/kuǎ/le
累屋重架	lěi/wū/chóng/jià
累建奇功	lěi/jiàn/qí/gōng
累手	lèi/shǒu
累教不改	lěi/jiào/bù/gǎi
累月经年	lěi/yuè/jīng/nián
累次	lěi/cì
累死累活	lèi/sǐ/lèi/huó
累活	lèi/huó
累牍连篇	lěi/dú/lián/piān
累瓦结绳	lěi/wǎ/jié/shéng
累着	lèi/zhe
累积	lěi/jī
累累	lěi/lěi
累累作案	lěi/lěi/zuò/àn
累累失误	lěi/lěi/shī/wù
累累如珠	lěi/lěi/rú/zhū
累苏积块	lěi/sū/jī/kuài
累计	lěi/jì
累赘	léi/zhuì
累足成步	lěi/zú/chéng/bù
絮叨	xù/dáo
絮果兰因	xù/guǒ/lán/yīn
絮絮叨叨	xù/xù/dāo/dāo
絮语	xù/yǔ
綦溪利跂	qí/xī/lì/guì
繁丽	fán/lì
繁乱	fán/luàn
繁体	fán/tǐ
繁体字	fán/tǐ/zì
繁冗	fán/rǒng
繁刑重赋	fán/xíng/zhòng/fù
繁华	fán/huá
繁华损枝	fán/huá/sǔn/zhī
繁博	fán/bó
繁复	fán/fù
繁多	fán/duō
繁密	fán/mì
繁弦急管	fán/xián/jí/guǎn
繁征博引	fán/zhēng/bó/yǐn
繁忙	fán/máng
繁文	fán/wén
繁文末节	fán/wén/mò/jié
繁文缛礼	fán/wén/rù/lǐ
繁文缛节	fán/wén/rù/jié
繁昌	fán/chāng
繁星	fán/xīng
繁杂	fán/zá
繁枝细节	fán/zhī/xì/jié
繁殖	fán/zhí
繁琐	fán/suǒ
繁盛	fán/shèng
繁简	fán/jiǎn
繁缛	fán/rù
繁育	fán/yù
繁芜	fán/wú
繁花	fán/huā
繁花似锦	fán/huā/sì/jǐn
繁苛	fán/kē
繁茂	fán/mào
繁荣	fán/róng
繁荣兴旺	fán/róng/xīng/wàng
繁荣富强	fán/róng/fù/qiáng
繁荣昌盛	fán/róng/chāng/shèng
繁衍	fán/yǎn
繁重	fán/zhòng
繁难	fán/nán
繇役	yáo/yì
纠合	jiū/hé
纠合之众	jiū/hé/zhī/zhòng
纠正	jiū/zhèng
纠结	jiū/jié
纠缠不清	jiū/chán/bù/qīng
纠葛	jiū/gé
纡佩金紫	yū/pèi/jīn/zǐ
纡尊降贵	yū/zūn/jiàng/guì
纡朱怀金	yū/zhū/huái/jīn
纡朱拖紫	yū/zhū/tuō/zǐ
纡朱曳紫	yū/zhū/yè/zǐ
纡金曳紫	yū/jīn/yè/zǐ
纡青佩紫	yū/qīng/pèi/zǐ
纡青拖紫	yū/qīng/tuō/zǐ
红不棱登	hóng/bù/lēng/dēng
红专	hóng/zhuān
红云	hóng/yún
红人	hóng/rén
红光满面	hóng/guāng/mǎn/miàn
红军	hóng/jūn
红利	hóng/lì
红包	hóng/bāo
红区	hóng/qū
红十字会	hóng/shí/zì/huì
红卫兵	hóng/wèi/bīng
红参	hóng/cān
红口白牙	hóng/kǒu/bái/yá
红叶	hóng/yè
红叶题诗	hóng/yè/tí/shī
红土	hóng/tǔ
红场	hóng/chǎng
红壤	hóng/rǎng
红外线	hóng/wài/xiàn
红头	hóng/tóu
红头文件	hóng/tóu/wén/jiàn
红女	hóng/nǚ
红妆	hóng/zhuāng
红娘	hóng/niáng
红学	hóng/xué
红宝石	hóng/bǎo/shí
红小鬼	hóng/xiǎo/guǐ
红尘	hóng/chén
红岩	hóng/yán
红布	hóng/bù
红帽子	hóng/mào/zi
红彤彤	hóng/tōng/tōng
红得发紫	hóng/de/fā/zǐ
红心	hóng/xīn
红情绿意	hóng/qíng/lǜ/yì
红愁绿惨	hóng/chóu/lǜ/cǎn
红扑扑	hóng/pū/pū
红教	hóng/jiào
红新月会	hóng/xīn/yuè/huì
红旗	hóng/qí
红旗手	hóng/qí/shǒu
红旗报捷	hóng/qí/bào/jié
红日	hóng/rì
红日三竿	hóng/rì/sān/gān
红星	hóng/xīng
红晕	hóng/yùn
红曲	hóng/qǔ
红木	hóng/mù
红杉	hóng/shān
红杏出墙	hóng/xìng/chū/qiáng
红枣	hóng/zǎo
红树	hóng/shù
红桃	hóng/táo
红案	hóng/àn
红桥	hóng/qiáo
红棉	hóng/mián
红楼	hóng/lóu
红楼梦	hóng/lóu/mèng
红榜	hóng/bǎng
红模子	hóng/mú/zǐ
红殷殷	hóng/yīn/yīn
红水河	hóng/shuǐ/hé
红汞	hóng/gǒng
红河	hóng/hé
红海	hóng/hǎi
红润	hóng/rùn
红潮	hóng/cháo
红澄澄	hóng/chéng/chéng
红火	hóng/huǒ
红灯	hóng/dēng
红灯区	hóng/dēng/qū
红烧	hóng/shāo
红烧肉	hóng/shāo/ròu
红牌	hóng/pái
红玉	hóng/yù
红生	hóng/shēng
红男绿女	hóng/nán/lǜ/nǚ
红白喜事	hóng/bái/xǐ/shì
红皮	hóng/pí
红皮书	hóng/pí/shū
红盘	hóng/pán
红眼	hóng/yǎn
红眼病	hóng/yǎn/bìng
红票	hóng/piào
红粉	hóng/fěn
红粉青楼	hóng/fěn/qīng/lóu
红糖	hóng/táng
红紫乱朱	hóng/zǐ/luàn/zhū
红红	hóng/hóng
红线	hóng/xiàn
红细胞	hóng/xì/bāo
红绳系足	hóng/shéng/jì/zú
红绿灯	hóng/lǜ/dēng
红缨枪	hóng/yīng/qiāng
红肿	hóng/zhǒng
红脸	hóng/liǎn
红腐贯朽	hóng/fǔ/guàn/xiǔ
红色	hóng/sè
红艳	hóng/yàn
红艳艳	hóng/yàn/yàn
红花	hóng/huā
红苕	hóng/sháo
红茶	hóng/chá
红药水	hóng/yào/shuǐ
红莲	hóng/lián
红薯	hóng/shǔ
红藤	hóng/téng
红虫	hóng/chóng
红蛋	hóng/dàn
红螺	hóng/luó
红血球	hóng/xuè/qiú
红衣	hóng/yī
红衣主教	hóng/yī/zhǔ/jiào
红衰翠减	hóng/shuāi/cuì/jiǎn
红袖	hóng/xiù
红装	hóng/zhuāng
红装素裹	hóng/zhuāng/sù/guǒ
红豆	hóng/dòu
红豆相思	hóng/dòu/xiāng/sī
红豆蔻	hóng/dòu/kòu
红货	hóng/huò
红运	hóng/yùn
红通通	hóng/tōng/tōng
红铜	hóng/tóng
红霉素	hóng/méi/sù
红领巾	hóng/lǐng/jīn
红颜	hóng/yán
红颜薄命	hóng/yán/bó/mìng
红飞翠舞	hóng/fēi/cuì/wǔ
红鱼	hóng/yú
纤介之失	xiān/jiè/zhī/shī
纤介之祸	xiān/jiè/zhī/huò
纤夫	qiàn/fū
纤小	xiān/xiǎo
纤尘	xiān/chén
纤尘不染	xiān/chén/bù/rǎn
纤巧	xiān/qiǎo
纤度	xiān/dù
纤弱	xiān/ruò
纤微	xiān/wēi
纤悉	xiān/xī
纤悉无遗	xiān/xī/wú/yí
纤手	qiàn/shǒu
纤柔	xiān/róu
纤毛	xiān/máo
纤毛虫	xiān/máo/chóng
纤毫	xiān/háo
纤瘦	xiān/shòu
纤秀	xiān/xiù
纤纤	xiān/xiān
纤细	xiān/xì
纤绳	qiàn/shéng
纤维	xiān/wéi
纤维板	xiān/wéi/bǎn
纤维素	xiān/wéi/sù
纤芥之疾	xiān/jiè/zhī/jí
纤长	xiān/cháng
纥繨	gē/da
约会	yuē/huì
约分	yuē/fēn
约同	yuē/tóng
约定	yuē/dìng
约定俗成	yuē/dìng/sú/chéng
约摸	yuē/mō
约数	yuē/shù
约旦	yuē/dàn
约期	yuē/qī
约束	yuē/shù
约法	yuē/fǎ
约法三章	yuè/fǎ/sān/zhāng
约略	yuē/lüè
约稿	yuē/gǎo
约莫	yuē/mò
约见	yuē/jiàn
约言	yuē/yán
约计	yuē/jì
约请	yuē/qǐng
约集	yuē/jí
级任	jí/rèn
级别	jí/bié
级差	jí/chà
级数	jí/shù
纨扇	wán/shàn
纨绔子弟	wán/kù/zǐ/dì
纨袴子弟	wán/kǔ/zǐ/dì
纨袴膏粱	wán/kù/gāo/liáng
纨裦子弟	wán/kǔ/zǐ/dì
纨裦膏粱	wán/kù/gāo/liáng
纪事	jì/shì
纪传体	jì/chuán/tǐ
纪元	jì/yuán
纪委	jì/wěi
纪实	jì/shí
纪年	jì/nián
纪录	jì/lù
纪律	jì/lǜ
纪念	jì/niàn
纪念册	jì/niàn/cè
纪念品	jì/niàn/pǐn
纪念堂	jì/niàn/táng
纪念日	jì/niàn/rì
纪念碑	jì/niàn/bēi
纪念章	jì/niàn/zhāng
纪念馆	jì/niàn/guǎn
纪检	jì/jiǎn
纪纲	jì/gāng
纪纲人论	jì/gāng/rén/lún
纪群之交	jì/qún/zhī/jiāo
纪行	jì/xíng
纪要	jì/yào
纬度	wěi/dù
纬武经文	wěi/wǔ/jīng/wén
纯一不杂	chún/yī/bù/zá
纯净	chún/jìng
纯化	chún/huà
纯属骗局	chún/shú/piàn/jú
纯度	chún/dù
纯朴	chún/piáo
纯正	chún/zhèng
纯正无邪	chún/zhèng/wú/xié
纯种	chún/zhǒng
纯钢	chún/gāng
纰漏	pī/lòu
纰缪	pī/miù
纱厂	shā/chǎng
纱笼	shā/lóng
纲举目张	gāng/jǔ/mù/zhāng
纲挈目张	gāng/qiè/mù/zhāng
纲提领挈	gāng/tí/lǐng/qiè
纲目不疏	gāng/mù/bù/shū
纲纪	gāng/jì
纲纪废弛	gāng/jì/fèi/chí
纲要	gāng/yào
纳凉	nà/liáng
纳垢藏污	nà/gòu/cáng/wū
纳士招贤	nà/shì/zhāo/xián
纳履决踵	nà/lǚ/jué/zhǒng
纳履踵决	nà/lǚ/zhǒng/jué
纳屦踵决	nà/jù/zhǒng/jué
纳新吐故	nà/xīn/tǔ/gù
纳谏如流	nà/jiàn/rú/liú
纳贡称臣	nà/gòng/chēng/chén
纳采	nà/cǎi
纳闷	nà/mèn
纳闷儿	nà/mèn/ér
纳降	nà/xiáng
纵令	zòng/lìng
纵使	zòng/shǐ
纵剖面	zòng/pōu/miàn
纵向	zòng/xiàng
纵坐标	zòng/zuò/biāo
纵声	zòng/shēng
纵容	zòng/róng
纵情	zòng/qíng
纵断面	zòng/duàn/miàn
纵曲枉直	zòng/qǔ/wǎng/zhí
纵横	zòng/héng
纵横交贯	zòng/héng/jiāo/guàn
纵横交错	zòng/héng/jiāo/cuò
纵横天下	zòng/héng/tiān/xià
纵横家	zòng/héng/jiā
纵横开合	zòng/héng/kāi/hé
纵横开阖	zòng/héng/kāi/hé
纵横捭阖	zòng/héng/bǎi/hé
纵横驰骋	zòng/héng/chí/chěng
纵欲	zòng/yù
纵步	zòng/bù
纵波	zòng/bō
纵深	zòng/shēn
纵火	zòng/huǒ
纵然	zòng/rán
纵目	zòng/mù
纵荡	zòng/dàng
纵虎出匣	zòng/hǔ/chū/xiá
纵虎出柙	zòng/hǔ/chū/xiá
纵虎归山	zòng/hǔ/guī/shān
纵观	zòng/guān
纵览	zòng/lǎn
纵论	zòng/lùn
纵谈	zòng/tán
纵贯	zòng/guàn
纵身	zòng/shēn
纵酒	zòng/jiǔ
纵队	zòng/duì
纵风止燎	zòng/fēng/zhǐ/liáo
纶巾	guān/jīn
纶巾羽扇	guān/jīn/yǔ/shàn
纶音佛语	lún/yīn/fó/yǔ
纷乱如麻	fēn/luàn/rú/má
纷繁	fēn/fán
纷红骇绿	fēn/hóng/hài/lǜ
纷纭杂沓	fēn/yún/zá/tà
纷纷不一	fēn/fēn/bù/yī
纷纷扬扬	fēn/fēn/yáng/yáng
纷纷扰扰	fēn/fēn/rǎo/rǎo
纷纷拥拥	fēn/fēn/yōng/yōng
纷纷攘攘	fēn/fēn/rǎng/rǎng
纷纷洋洋	fēn/fēn/yáng/yáng
纷纷籍籍	fēn/fēn/jí/jí
纷至沓来	fēn/zhì/tà/lái
纷至踏来	fēn/zhì/tà/lái
纸上谈兵	zhǐ/shàng/tán/bīng
纸包不住火	zhǐ/bāo/bú/zhù/huǒ
纸夹	zhǐ/jiā
纸捻	zhǐ/niǎn
纸条	zhǐ/tiáo
纸浆	zhǐ/jiāng
纸短情长	zhǐ/duǎn/qíng/cháng
纸票	zhǐ/piào
纸落云烟	zhǐ/luò/yún/yān
纸贵洛阳	zhǐ/guì/luò/yáng
纸醉金迷	zhǐ/zuì/jīn/mí
纹丝不动	wén/sī/bù/dòng
纹理	wén/lǐ
纹路	wén/lù
纹身	wén/shēn
纹银	wén/yín
纹饰	wén/shì
纺织	fǎng/zhī
纺织品	fǎng/zhī/pǐn
纺织娘	fǎng/zhī/niáng
纺织工业	fǎng/zhī/gōng/yè
纺车	fǎng/chē
纽结	niǔ/jié
线呢	xiàn/ne
线圈	xiàn/quān
线坯子	xiàn/pī/zi
线头	xiàn/tóu
线条	xiàn/tiáo
线粒体	xiàn/lì/tǐ
线轴	xiàn/zhóu
练习曲	liàn/xí/qǔ
练兵秣马	liàn/bīng/mò/mǎ
练漂	liàn/piāo
练达老成	liàn/dá/lǎo/chéng
组分	zǔ/fèn
组合	zǔ/hé
组员	zǔ/yuán
组曲	zǔ/qǔ
组织	zǔ/zhī
组织学	zǔ/zhī/xué
组织得当	zǔ/zhī/dé/dàng
组织法	zǔ/zhī/fǎ
组织液	zǔ/zhī/yè
组织生活	zǔ/zhī/shēng/huó
组织路线	zǔ/zhī/lù/xiàn
组长	zǔ/zhǎng
细别	xì/bié
细发	xì/fà
细嚼慢咽	xì/jiáo/màn/yàn
细大不捐	xì/dà/bù/juān
细大不逾	xì/dà/bù/yú
细屑子	xì/xiè/zi
细微末节	xì/wēi/mò/jié
细挑	xì/tāo
细条	xì/tiáo
细枝末节	xì/zhī/mò/jié
细水长流	xì/shuǐ/cháng/liú
细看	xì/kàn
细节	xì/jié
细菌	xì/jūn
细菌域	xì/jùn/yù
细菌炸弹	xì/jùn/zhà/dàn
细菌界	xì/jùn/jiè
细语	xì/yǔ
细说	xì/shuō
细读	xì/dú
细针密缕	xì/zhēn/mì/lǚ
细长	xì/cháng
细雨	xì/yǔ
细高挑儿	xì/gāo/tiǎo/ér
织品	zhī/pǐn
织女	zhī/nǚ
织女星	zhī/nǚ/xīng
织布	zhī/bù
织布机	zhī/bù/jī
织当访婢	zhī/dāng/fǎng/bì
织成	zhī/chéng
织机	zhī/jī
织楚成门	zhī/chǔ/chéng/mén
织物	zhī/wù
织白守黑	zhī/bái/shǒu/hēi
织花	zhī/huā
织补	zhī/bǔ
织造	zhī/zào
织金	zhī/jīn
织锦	zhī/jǐn
终了	zhōng/liǎo
终其天年	zhōng/qí/tiān/nián
终南捷径	zhōng/nán/jié/jìng
终场	zhōng/chǎng
终天之恨	zhōng/tiān/zhī/hèn
终始不渝	zhōng/shǐ/bù/yú
终始如一	zhōng/shǐ/rú/yī
终始若一	zhōng/shǐ/ruò/yī
终将	zhōng/jiāng
终成泡影	zhōng/chéng/pào/yǐng
终焉之志	zhōng/yān/zhī/zhì
终结	zhōng/jié
终而复始	zhōng/ér/fù/shǐ
终身大事	zhōng/shēn/dà/shì
终身教育	zhōng/shēn/jiào/yù
绊倒	bàn/dǎo
绊脚石	bàn/jiǎo/shí
绍兴	shào/xīng
绍兴戏	shào/xīng/xì
绍兴酒	shào/xīng/jiǔ
经一事，长一智	jīng/yī/shì/<py_unk>/zhǎng/yī/zhì
